ID	gene_name	Especie	KO	LFC	DE	node_type	top_pathway
YP_001084208.1	alaS	aci	K01872	0.03924431757751279	yes	gene	Aminoacyl-tRNA biosynthesis
WP_032443961.1	alaS	kleb	K01872	1.3179328300535849	yes	gene	Aminoacyl-tRNA biosynthesis
NP_252172.1	metG	pseu	K01874	-0.0166440135313195	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083820.1	metG	aci	K01874	-0.12728755371504974	yes	gene	Aminoacyl-tRNA biosynthesis
WP_025862117.1	metG	kleb	K01874	1.0274367844949124	yes	gene	Aminoacyl-tRNA biosynthesis
NP_249654.1	aspS	pseu	K01876	-0.038002929103146954	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001085902.1	aspS	aci	K01876	-0.20805071111193385	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002911479.1	aspS	kleb	K01876	2.1402669710288764	yes	gene	Aminoacyl-tRNA biosynthesis
NP_064729.1	glyQ	pseu	K01878	-0.2681390162750219	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001086117.1	glyQ	aci	K01878	0.0429802555189287	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002922128.1	glyQ	kleb	K01878	3.128874144420222	yes	gene	Aminoacyl-tRNA biosynthesis
NP_064728.1	glyS	pseu	K01879	0.06691749208640196	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001086118.1	glyS	aci	K01879	-0.049239251798681494	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004150153.1	glyS	kleb	K01879	2.3439180353159905	yes	gene	Aminoacyl-tRNA biosynthesis
NP_249647.1	proS	pseu	K01881	-0.1323276962095754	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001085827.1	A1S_2819	aci	K01881	-0.20788843953923752	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004147169.1	proS	kleb	K01881	3.2329287934905393	yes	gene	Aminoacyl-tRNA biosynthesis
NP_250485.1	glnS	pseu	K01886	-0.01313698306928579	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001085137.1	A1S_2108	aci	K01886	-0.16790695154655744	yes	gene	Aminoacyl-tRNA biosynthesis
WP_002894753.1	glnS	kleb	K01886	1.8198105395457662	yes	gene	Aminoacyl-tRNA biosynthesis
NP_253738.1	argS	pseu	K01887	-0.20870477377636298	yes	gene	Aminoacyl-tRNA biosynthesis
WP_004148863.1	argS	kleb	K01887	2.749478379628642	yes	gene	Aminoacyl-tRNA biosynthesis
NP_251430.1	pheS	pseu	K01889	0.5412292221235457	yes	gene	Aminoacyl-tRNA biosynthesis
YP_001083654.1	pheS	aci	K01889	-0.12813185005590455	yes	gene	Aminoacyl-tRNA biosynthesis
